Epoch 1, Loss: 6.7681565284729, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 2, Loss: 6.602201461791992, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 3, Loss: 6.466240406036377, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 4, Loss: 6.500916481018066, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 5, Loss: 6.436013221740723, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 6, Loss: 6.272811412811279, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 7, Loss: 6.27956485748291, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 8, Loss: 6.430353164672852, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 9, Loss: 6.4038825035095215, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 10, Loss: 6.280793190002441, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 11, Loss: 6.266066551208496, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 12, Loss: 6.324544429779053, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 13, Loss: 6.430660724639893, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 14, Loss: 6.10813570022583, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 15, Loss: 6.110684394836426, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 16, Loss: 6.132717609405518, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 17, Loss: 6.0561723709106445, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 18, Loss: 6.191281795501709, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 19, Loss: 6.063272476196289, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 20, Loss: 6.131708145141602, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 21, Loss: 6.310166358947754, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 22, Loss: 6.007607936859131, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 23, Loss: 5.954268455505371, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 24, Loss: 5.998988628387451, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6382978723404256
Epoch 25, Loss: 5.66127872467041, Train acc: 0.6914893617021277, Validation acc: 0.723404255319149, Test acc: 0.6595744680851063
Epoch 26, Loss: 6.00544548034668, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7872340425531915
Epoch 27, Loss: 5.874455451965332, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.7659574468085106
Epoch 28, Loss: 5.671848297119141, Train acc: 0.723404255319149, Validation acc: 0.7446808510638298, Test acc: 0.7021276595744681
